Date,Price
1966/01/31,272.4901
1966/02/28,267.6201
1966/03/31,263.7768
1966/04/29,269.1865
1966/05/31,254.6127
1966/06/30,252.6026
1966/07/29,249.2043
1966/08/31,229.8284
1966/09/30,230.2755
1966/10/31,241.2238
1966/11/30,241.9758
1966/12/30,243.991
1967/01/31,263.0656
1967/02/28,263.582
1967/03/31,276.1263
1967/04/28,287.7897
1967/05/31,272.6976
1967/06/30,279.6467
1967/07/31,292.3271
1967/08/31,288.9024
1967/09/29,300.5647
1967/10/31,291.8315
1967/11/30,292.1423
1967/12/29,302.274
1968/01/31,289.02
1968/02/29,279.9959
1968/03/29,284.9466
1968/04/30,308.292
1968/05/31,311.7354
1968/06/28,316.9478
1968/07/31,311.0914
1968/08/30,314.6562
1968/09/30,329.1699
1968/10/31,331.5425
1968/11/29,347.4447
1968/12/31,335.6463
1969/01/31,332.8993
1969/02/28,317.1285
1969/03/31,328.0517
1969/04/30,337.6582
1969/05/30,336.9092
1969/06/30,320.7248
1969/07/31,301.4242
1969/08/29,313.5035
1969/09/30,308.186
1969/10/31,321.8213
1969/11/28,310.4696
1969/12/31,307.4579
1970/01/30,284.8143
1970/02/27,300.6932
1970/03/31,302.0034
1970/04/30,275.587
1970/05/29,259.6643
1970/06/30,247.5546
1970/07/31,266.5842
1970/08/31,279.3242
1970/09/30,289.4322
1970/10/30,287.0263
1970/11/30,301.5414
1970/12/31,319.5578
1971/01/29,333.3596
1971/02/26,337.2537
1971/03/31,350.5347
1971/04/30,364.1633
1971/05/31,349.0292
1971/06/30,351.1015
1971/07/30,337.5082
1971/08/31,350.6088
1971/09/30,349.0511
1971/10/29,335.3857
1971/11/30,335.4569
1971/12/31,365.2587
1972/01/31,372.7721
1972/02/29,383.101
1972/03/31,385.3657
1972/04/28,388.8969
1972/05/31,396.5542
1972/06/30,388.8425
1972/07/31,390.6934
1972/08/31,405.1002
1972/09/29,404.0792
1972/10/31,408.8674
1972/11/30,428.545
1972/12/29,434.6424
1973/01/31,428.1623
1973/02/28,413.0698
1973/03/30,413.4027
1973/04/30,397.5739
1973/05/31,391.1068
1973/06/29,389.5417
1973/07/31,405.3834
1973/08/31,391.5609
1973/09/28,408.2751
1973/10/31,408.9528
1973/11/30,363.5975
1973/12/31,370.7967
1974/01/31,368.136
1974/02/28,367.8691
1974/03/29,360.3374
1974/04/30,347.4162
1974/05/31,336.9141
1974/06/28,333.0925
1974/07/31,308.3817
1974/08/30,281.7468
1974/09/30,249.2961
1974/10/31,291.1986
1974/11/29,276.9736
1974/12/31,272.6589
1975/01/31,307.3378
1975/02/28,326.9406
1975/03/31,335.2354
1975/04/30,352.3269
1975/05/30,369.1159
1975/06/30,386.7314
1975/07/31,361.8269
1975/08/29,355.4669
1975/09/30,344.379
1975/10/31,366.8804
1975/11/28,377.2226
1975/12/31,374.1632
1976/01/30,419.7149
1976/02/27,416.1778
1976/03/31,430.202
1976/04/30,426.8532
1976/05/31,422.1075
1976/06/30,440.8154
1976/07/30,438.7018
1976/08/31,437.896
1976/09/30,449.2147
1976/10/29,440.8485
1976/11/30,439.0491
1976/12/31,463.6891
1977/01/31,441.769
1977/02/28,433.7156
1977/03/31,429.1533
1977/04/29,430.9411
1977/05/31,422.4921
1977/06/30,443.3706
1977/07/29,437.8549
1977/08/31,430.3248
1977/09/30,430.9918
1977/10/31,414.204
1977/11/30,427.3021
1977/12/30,430.5013
1978/01/31,405.7849
1978/02/28,397.5555
1978/03/31,409.2483
1978/04/28,446.1774
1978/05/31,450.2784
1978/06/30,444.0766
1978/07/31,469.9691
1978/08/31,484.113
1978/09/29,482.5663
1978/10/31,440.4935
1978/11/30,449.9512
1978/12/29,458.7887
1979/01/31,479.1242
1979/02/28,463.7335
1979/03/30,491.3803
1979/04/30,494.4759
1979/05/31,483.737
1979/06/29,504.7796
1979/07/31,511.5486
1979/08/31,541.0658
1979/09/28,543.392
1979/10/31,508.5974
1979/11/30,532.7735
1979/12/31,544.1657
1980/01/31,577.9933
1980/02/29,577.9427
1980/03/31,521.7552
1980/04/30,545.8779
1980/05/30,573.9704
1980/06/30,592.1327
1980/07/31,633.3394
1980/08/29,639.742
1980/09/30,658.5611
